label,feature,coefficient
aroma,aroma,70.41873831003073
aroma,the aroma,16.758349296486127
aroma,aroma and,13.177341826883595
aroma,aromas,10.114517954148416
aroma,and aroma,9.367402201018084
aroma,aroma of,9.010375464648401
aroma,aroma is,6.338421224119487
aroma,wonderful aroma,4.695869975054397
aroma,aroma that,3.879972527304912
aroma,smell,3.766328249959036
aroma,coffee,3.759815891946869
aroma,br,3.658229300792475
aroma,great aroma,3.5280951306134676
aroma,nice aroma,3.466596716869083
aroma,an,3.347129733654586
aroma,pleasant,3.3350108056040058
aroma,wonderful,3.292964351745429
aroma,br br,3.287906498812832
aroma,aroma it,3.06264955009976
aroma,with,3.0202943082621827
