label,feature,coefficient
chocolate,chocolate,98.72566455994891
chocolate,chocolates,29.6604299276017
chocolate,the chocolate,14.43486550471125
chocolate,hot chocolate,9.010088823774836
chocolate,chocolate and,8.919961994743439
chocolate,of chocolate,8.213637570609757
chocolate,dark chocolate,8.10919630116449
chocolate,chocolate chip,6.81491702018074
chocolate,and chocolate,6.718058298633551
chocolate,dark,6.41345034592884
chocolate,cocoa,5.471034055973123
chocolate,milk,5.203639955640426
chocolate,chocolate flavor,5.193968483947262
chocolate,chocolate chips,4.996849305889672
chocolate,these chocolates,4.7135446344995335
chocolate,the chocolates,4.679983625249621
chocolate,with chocolate,4.495160677750318
chocolate,hot,4.492359748104723
chocolate,like chocolate,4.315035092942309
chocolate,cookies,4.312173775015362
