label,feature,coefficient
coffee,coffee,104.86998401466427
coffee,coffees,29.60022373524526
coffee,coffee and,11.428982066761023
coffee,of coffee,11.358447486676354
coffee,my coffee,10.039473637741388
coffee,the coffee,9.534431907800492
coffee,coffee or,8.294786690058132
coffee,this coffee,7.2633420547675245
coffee,with coffee,6.886827498149374
coffee,cup,6.758694116721757
coffee,in coffee,6.474851653703972
coffee,cups,5.902638972693103
coffee,or coffee,5.6659959455889375
coffee,morning,5.45266371117661
coffee,flavored coffees,5.222850432452558
coffee,coffee but,5.06050244842611
coffee,coffee is,5.038133399573166
coffee,starbucks,4.808487109440576
coffee,coffees and,4.773203344408229
coffee,and coffee,4.684859859653305
