label,feature,coefficient
delivery,delivery,74.93320801003524
delivery,the delivery,9.10967570403595
delivery,delivery was,8.031624740564837
delivery,auto delivery,6.496001819362334
delivery,fast delivery,6.445904037703628
delivery,delivery and,6.056155032559481
delivery,and delivery,5.7381954248956815
delivery,delivery is,5.118349879796575
delivery,auto,5.016991753948883
delivery,amazon,4.938866181443741
delivery,fast,4.850506343198828
delivery,automatic delivery,4.123580027968124
delivery,automatic,4.1234724381680286
delivery,quick delivery,4.070958653853755
delivery,delivery of,3.6981940079848368
delivery,for delivery,3.588249553177484
delivery,free delivery,3.4185819452078534
delivery,prompt,3.412752025377243
delivery,quick,3.3514974016154766
delivery,was,3.0611457312775405
