label,feature,coefficient
flavor,flavor,139.83327656132013
flavor,flavors,81.72468642173459
flavor,the flavor,22.99261114268106
flavor,flavor and,18.533622985138013
flavor,flavor is,14.774404790392724
flavor,the flavors,13.695254051655954
flavor,other flavors,12.64994855743874
flavor,flavor of,11.538648427396254
flavor,flavors and,11.290767469858942
flavor,great flavor,8.655130447919056
flavor,this flavor,8.447840289304093
flavor,flavor but,8.434725440422506
flavor,flavor that,8.171032797788516
flavor,flavors of,8.015677228186473
flavor,of flavor,8.010546064551031
flavor,different flavors,7.948818337527831
flavor,flavor to,7.921470270969644
flavor,of flavors,7.597465914185481
flavor,flavor it,7.597337001904141
flavor,and flavor,7.405878578850994
