label,feature,coefficient
fresh,fresh,111.03931229514937
fresh,fresh and,15.417261375201345
fresh,and fresh,9.469541968405515
fresh,of fresh,7.593117152267891
fresh,very fresh,7.066137840542073
fresh,with fresh,6.693548691787593
fresh,the fresh,5.961325587812464
fresh,is fresh,5.100673462988255
fresh,like fresh,4.932126244398895
fresh,fresh fruit,4.61808765282169
fresh,as fresh,4.2546906375974585
fresh,it fresh,4.187694147608765
fresh,stay fresh,4.111811453807385
fresh,fresh tasting,4.035540352023076
fresh,some fresh,3.9883812420296274
fresh,are fresh,3.9438726091550413
fresh,with,3.859141695663226
fresh,stale,3.516061609850401
fresh,br br,3.4569197594454235
fresh,from,3.430245709588759
