label,feature,coefficient
packaging,packaging,86.96549910918775
packaging,the packaging,26.43260541135447
packaging,packaging and,10.11473129431542
packaging,packaging is,10.01308637626463
packaging,packaging was,6.063812472452415
packaging,packaging the,4.716366782180334
packaging,br br,4.2784587504332645
packaging,box,4.1134845061700736
packaging,packaging br,4.0498960668737345
packaging,packaging it,4.0186221083830445
packaging,and packaging,3.9526076865074846
packaging,br,3.881781562299556
packaging,plastic,3.850242990712388
packaging,package,3.673496028197863
packaging,packaging but,3.5746887614384564
packaging,in,3.4617090695810546
packaging,packaging that,3.448715968587459
packaging,of packaging,3.358085440456617
packaging,great packaging,3.283919051014789
packaging,their packaging,3.1921211787683212
