label,feature,coefficient
price,price,115.80061158447717
price,priced,45.42880894984679
price,prices,43.93843537685063
price,the price,36.57368749403539
price,great price,15.97068151819985
price,price is,14.281390028338958
price,good price,12.90853355050835
price,price and,10.984258380088555
price,reasonably priced,10.666672133777148
price,reasonably,10.143944125238756
price,price for,9.183495400774035
price,reasonable,8.70844754632067
price,best price,8.6517516610375
price,at,8.580566510204804
price,the prices,8.480017646973515
price,amazon,7.41064409798897
price,price was,7.088276780508761
price,same price,7.064118835622343
price,this price,6.935012170250161
price,price of,6.7041094391316305
