label,feature,coefficient
quality,quality,110.09421655757495
quality,the quality,16.900521686683373
quality,high quality,16.05861527063466
quality,good quality,13.243360963115625
quality,quality of,13.015715183758177
quality,quality and,11.269618107185948
quality,high,9.394936630790262
quality,quality product,7.309193920835318
quality,and quality,6.914142656350914
quality,quality control,6.007606545003805
quality,great quality,5.847533977683524
quality,quality is,5.5794548609050985
quality,quality food,5.2957438143663795
quality,better quality,5.287388158221969
quality,quality ingredients,5.219162605983032
quality,excellent quality,4.822089467808673
quality,in quality,4.7285180155045365
quality,poor quality,4.255228006499216
quality,of quality,4.2290013742056285
quality,higher quality,4.031320962866969
