label,feature,coefficient
size,size,94.55752355792022
size,sized,52.12146935083998
size,sizes,32.81919448533691
size,the size,13.521157664634996
size,size of,11.336410920193634
size,size and,10.110877780581294
size,serving size,9.458148249922223
size,size is,8.054467153291974
size,size for,7.957988475463558
size,serving,7.512659741276647
size,larger,6.935768639588502
size,small,6.706911822680539
size,smaller,5.9416601031873135
size,perfect size,5.851085925883143
size,same size,5.393164213850296
size,large,5.32469837024846
size,in size,5.315576713584944
size,good sized,5.129618117311014
size,medium,5.03667344564529
size,this size,4.983300998843966
