label,feature,coefficient
smell,smell,83.94959889286068
smell,smells,60.41482441981856
smell,the smell,16.63182934782912
smell,it smells,16.52238043721054
smell,smells like,10.802359028424762
smell,smell and,10.182940335225771
smell,and smells,9.370392009251782
smell,and smell,8.456864702679097
smell,smell of,8.441509165599639
smell,smell the,7.436352942963632
smell,smell like,7.078937769934099
smell,smells great,6.934366522044073
smell,smells good,6.832838561013544
smell,they smell,6.8262266439923005
smell,smells and,6.355028697546656
smell,smell is,5.522281893792836
smell,smell it,4.777296005159876
smell,like,4.442490227180226
smell,smells wonderful,4.311478492072569
smell,can smell,4.203103979257287
