label,feature,coefficient
stale,stale,64.8928475324065
stale,stale and,8.07486964626901
stale,go stale,6.2411023690835545
stale,fresh,6.102782692889878
stale,get stale,5.324702279275212
stale,and stale,4.780574419437271
stale,stale or,4.1127506002779795
stale,date,3.6600678962416153
stale,were,3.4493940116494937
stale,was stale,3.4250643947539494
stale,not stale,3.2867645545534883
stale,or,3.007919237078044
stale,were stale,2.964101902886378
stale,stale br,2.9277076452578124
stale,tasted stale,2.9124278475792047
stale,bag,2.828255334006183
stale,old,2.7952644164367078
stale,or stale,2.693573836125721
stale,br,2.6873888771870673
stale,going stale,2.6468149544844426
