label,feature,coefficient
tea,tea,92.0841065757142
tea,teas,35.73777064752492
tea,this tea,10.866104420202577
tea,tea and,10.201744759014664
tea,green tea,9.600382837733441
tea,of tea,8.26692249476095
tea,the tea,7.490452372750297
tea,teas and,7.428985103412335
tea,tea or,7.111030031088258
tea,green,6.972673865642047
tea,chai,6.404387801580678
tea,or tea,6.175381394415461
tea,iced,5.497010588157476
tea,coffee tea,5.290707678157036
tea,my tea,5.285815003006667
tea,matcha,5.177297213592831
tea,iced tea,5.152266934628519
tea,and tea,5.0818251626424695
tea,tea is,4.969511241089879
tea,honey,4.8780694902430035
