label,feature,coefficient
texture,texture,91.9205293634793
texture,the texture,20.109509365627673
texture,textures,18.9540000302621
texture,texture and,16.122964603413624
texture,textured,14.823621094249965
texture,and texture,14.266678844688139
texture,texture is,10.760916068043036
texture,texture of,9.575191829060566
texture,and textures,6.843946977542032
texture,great texture,5.305560901271537
texture,in texture,5.1368170745592145
texture,texture to,4.93091661136443
texture,textures and,4.734270033939814
texture,texture that,4.443040948190294
texture,texture but,4.2304314474475
texture,nice texture,4.158357074176348
texture,with,4.017464294937553
texture,texture br,3.980913267169335
texture,texture the,3.9645973099329708
texture,texture was,3.8744048569942238
